Last event arrived at: Not initialized yet 


00:1E:C0:9B:78:E5 192.168.2.22 relay1 1 28-04-2017 14:09:50.000 000
00:1E:C0:9B:78:E5 192.168.2.22 relay1 1 28-04-2017 14:09:50.000 000
00:1E:C0:9B:78:E5 192.168.2.22 relay1 1 28-04-2017 14:09:50.000 000
00:1E:C0:9B:78:E5 192.168.2.22 relay1 0 28-04-2017 14:35:07.000 001
00:1E:C0:9B:78:E5 192.168.2.22 relay1 0 28-04-2017 14:35:07.000 001
00:1E:C0:9B:78:E5 192.168.2.22 relay1 0 28-04-2017 14:35:07.000 001
00:1E:C0:9B:78:E5 192.168.2.22 relay1 1 28-04-2017 14:39:25.000 002
00:1E:C0:9B:78:E5 192.168.2.22 relay1 0 28-04-2017 14:39:26.000 003
00:1E:C0:9B:78:E5 192.168.2.22 relay1 1 28-04-2017 14:39:27.000 004
00:1E:C0:9B:78:E5 192.168.2.22 relay2 1 28-04-2017 14:39:27.000 005
00:1E:C0:9B:78:E5 192.168.2.22 relay2 0 28-04-2017 14:39:28.000 006
00:1E:C0:9B:78:E5 192.168.2.22 relay1 0 28-04-2017 14:39:30.000 007
00:1E:C0:9B:78:E5 192.168.2.22 relay1 1 28-04-2017 14:39:38.000 008
00:1E:C0:9B:78:E5 192.168.2.22 relay2 1 28-04-2017 14:39:43.000 009
00:1E:C0:9B:78:E5 192.168.2.22 relay2 0 28-04-2017 14:39:46.000 010
00:1E:C0:9B:78:E5 192.168.2.22 relay1 0 28-04-2017 14:39:47.000 011
00:1E:C0:9B:78:E5 192.168.2.22 relay1 1 28-04-2017 14:39:48.000 012
00:1E:C0:9B:78:E5 192.168.2.22 relay2 1 28-04-2017 14:39:50.000 013
00:1E:C0:9B:78:E5 192.168.2.22 relay2 0 28-04-2017 14:39:52.000 014
00:1E:C0:9B:78:E5 192.168.2.22 relay1 0 28-04-2017 14:39:52.000 015
00:1E:C0:9B:78:E5 192.168.2.22 relay2 1 28-04-2017 14:40:09.000 016
00:1E:C0:9B:78:E5 192.168.2.22 relay2 1 28-04-2017 14:40:09.000 016
00:1E:C0:9B:78:E5 192.168.2.22 relay2 1 28-04-2017 14:40:09.000 016
00:1E:C0:9B:78:E5 192.168.2.22 relay1 1 28-04-2017 14:41:32.000 017
00:1E:C0:9B:78:E5 192.168.2.22 relay1 1 28-04-2017 14:41:32.000 017
00:1E:C0:9B:78:E5 192.168.2.22 relay1 1 28-04-2017 14:41:32.000 017
